episode,reward,steps,goal,collision,epsilon,avg_loss,difficulty
1,-0.8500,600,0,0,0.99750,1.283656,easy
2,-0.7000,600,0,0,0.99501,0.055979,easy
3,-6.7500,78,0,1,0.99252,0.034767,easy
4,-8.8000,538,0,1,0.99004,1.660901,easy
5,-4.6000,131,0,1,0.98756,1.829435,easy
6,-10.0500,106,0,1,0.98509,0.644912,easy
7,-7.7000,62,0,1,0.98263,0.410821,easy
8,-3.5500,265,0,1,0.98017,0.455115,easy
9,-10.5000,600,0,0,0.97772,0.698228,easy
10,-11.3500,600,0,0,0.97528,0.127349,easy
11,-16.0000,146,0,1,0.97284,0.086658,easy
12,-6.2500,600,0,0,0.97041,0.153323,easy
13,31.6500,264,1,0,0.96798,0.103358,easy
14,-20.0000,594,0,1,0.96556,1.111112,easy
15,-3.3500,600,0,0,0.96315,0.668424,easy
16,-0.3000,600,0,0,0.96074,0.157239,easy
17,-9.7500,251,0,1,0.95834,0.128116,easy
18,-6.1000,21,0,1,0.95594,0.179820,easy
19,-1.4000,600,0,0,0.95355,0.108745,easy
20,-9.6500,134,0,1,0.95117,0.125314,easy
21,-8.6000,511,0,1,0.94879,0.092163,easy
22,-16.4500,600,0,0,0.94642,0.078102,easy
23,27.9500,279,1,0,0.94405,0.057088,easy
24,-11.7000,219,0,1,0.94169,0.128067,easy
25,-11.2000,101,0,1,0.93934,0.093271,easy
26,-13.1000,126,0,1,0.93699,0.105626,easy
27,0.8000,411,0,1,0.93465,0.101404,easy
28,-5.6500,600,0,0,0.93231,0.106061,easy
29,-4.2500,36,0,1,0.92998,0.080746,easy
30,-8.9000,15,0,1,0.92766,0.038289,easy
31,-6.9000,419,0,1,0.92534,0.117792,easy
32,-16.2500,150,0,1,0.92302,0.091135,easy
33,-10.6500,600,0,0,0.92072,0.074322,easy
34,-10.2000,39,0,1,0.91841,0.081966,easy
35,-5.4000,114,0,1,0.91612,0.060999,easy
36,25.0500,175,1,0,0.91383,0.058428,easy
37,-7.8500,119,0,1,0.91154,0.090515,easy
38,-12.9500,600,0,0,0.90926,0.097565,easy
39,-7.7500,75,0,1,0.90699,0.132561,easy
40,-8.2000,32,0,1,0.90472,0.069215,easy
41,-6.8500,436,0,1,0.90246,0.073767,easy
42,-10.0000,286,0,1,0.90021,0.068375,easy
43,-1.2500,327,0,1,0.89796,0.062921,easy
44,-6.3000,290,0,1,0.89571,0.059196,easy
45,-9.2500,17,0,1,0.89347,0.046221,easy
46,-11.2000,47,0,1,0.89124,0.307797,easy
47,3.1000,600,0,0,0.88901,0.173225,easy
48,25.1500,431,1,0,0.88679,0.142830,easy
49,-0.2500,211,0,1,0.88457,0.171863,easy
50,-10.4500,120,0,1,0.88236,0.168644,easy
51,26.4000,203,1,0,0.88015,0.160859,easy
52,-9.5500,68,0,1,0.87795,0.178068,easy
53,-7.4500,10,0,1,0.87576,0.186933,easy
54,-1.2000,167,0,1,0.87357,0.164871,easy
55,-5.6500,149,0,1,0.87138,0.175110,easy
56,-14.9000,570,0,1,0.86921,0.163982,easy
57,25.8000,249,1,0,0.86703,0.126697,easy
58,26.7000,239,1,0,0.86487,0.185239,easy
59,-4.8000,39,0,1,0.86270,0.157251,easy
60,25.4000,176,1,0,0.86055,0.227080,easy
61,-0.9000,220,0,1,0.85839,0.263773,easy
62,32.8000,448,1,0,0.85625,0.219931,easy
63,30.7500,152,1,0,0.85411,0.292583,easy
64,28.6500,347,1,0,0.85197,0.301114,easy
65,27.5500,120,1,0,0.84984,0.287629,easy
66,-3.9000,106,0,1,0.84772,0.285274,easy
67,-3.1000,216,0,1,0.84560,0.278094,easy
68,33.8500,200,1,0,0.84349,0.275140,easy
69,-6.7000,227,0,1,0.84138,0.260916,easy
70,27.2500,139,1,0,0.83927,0.293309,easy
71,-4.5500,97,0,1,0.83717,0.283973,easy
72,-2.2500,146,0,1,0.83508,0.266443,easy
73,30.3000,328,1,0,0.83299,0.244673,easy
74,5.0000,600,0,0,0.83091,0.232636,easy
75,-0.5500,127,0,1,0.82883,0.207760,easy
76,-6.3500,310,0,1,0.82676,0.331303,easy
77,26.9000,144,1,0,0.82470,0.265127,easy
78,26.9000,98,1,0,0.82263,0.279082,easy
79,31.7500,130,1,0,0.82058,0.295473,easy
